#plate	mjd	fiberid	run2d	specobj_id	ra	dec	sn_median_r	z	zerr	zwarning	class	subclass
'266'	'51602'	'4'	'26'	'299490501608892416'	'09:47:26.36'	'-00:48:32.05'	11.34	0.126554	6.20E-05	'0'	'GALAXY'	''
'266'	'51602'	'6'	'26'	'299491051364706304'	'09:47:51.34'	'-00:32:42.01'	6.41	0.055988	1.10E-05	'0'	'GALAXY'	'STARBURST'
'266'	'51602'	'8'	'26'	'299491601120520192'	'09:46:25.73'	'-01:14:26.71'	18.26	0.090633	2.70E-05	'0'	'GALAXY'	''
'266'	'51602'	'10'	'26'	'299492150876334080'	'09:46:54.71'	'-00:33:24.77'	17.28	0.089338	3.60E-05	'0'	'GALAXY'	''
'266'	'51602'	'12'	'26'	'299492700632147968'	'09:46:22.25'	'-00:45:36.92'	16.11	0.065023	1.10E-05	'0'	'GALAXY'	'STARFORMING'
'266'	'51602'	'13'	'26'	'299492975510054912'	'09:47:44.18'	'-00:40:13.45'	21	0.121316	3.20E-05	'0'	'GALAXY'	''
'266'	'51602'	'15'	'26'	'299493525265868800'	'09:47:48.00'	'-00:35:31.93'	9.86	0.064777	8.00E-06	'0'	'GALAXY'	'STARFORMING'
'266'	'51602'	'16'	'26'	'299493800143775744'	'09:46:31.60'	'-00:59:17.80'	9.38	0.052659	9.00E-06	'0'	'GALAXY'	'STARFORMING'
'266'	'51602'	'17'	'26'	'299494075021682688'	'09:46:30.86'	'-00:45:54.49'	20.99	0.064589	1.60E-05	'0'	'GALAXY'	'STARFORMING'
'266'	'51602'	'26'	'26'	'299496548922845184'	'09:47:49.46'	'-00:20:32.28'	12.96	0.134831	4.30E-05	'0'	'GALAXY'	'STARFORMING'
'266'	'51602'	'27'	'26'	'299496823800752128'	'09:47:40.82'	'-00:18:23.26'	10.86	0.131468	3.60E-05	'0'	'GALAXY'	''
'266'	'51602'	'33'	'26'	'299498473068193792'	'09:49:19.08'	'+00:01:44.05'	25.49	0.048096	1.10E-05	'0'	'GALAXY'	'STARFORMING'
'266'	'51602'	'39'	'26'	'299500122335635456'	'09:48:54.17'	'-00:17:33.43'	10.71	0.13373	3.70E-05	'0'	'GALAXY'	''
'266'	'51602'	'43'	'26'	'299501221847263232'	'09:46:15.75'	'-01:05:05.07'	24.09	0.09757	1.80E-05	'0'	'GALAXY'	'BROADLINE'
'12547'	'58928'	'988'	'v5_13_2'	'14126937860314781696'	'09:23:48.80'	'+02:06:28.58'	0.69	0.024241	2.10E-05	'0'	'GALAXY'	'STARFORMING'


